City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
10,Ponta Do Sol,PT,32.67,-17.1,75.2,64,40,11.41,"{'coord': {'lon': -17.1, 'lat': 32.67}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}], 'base': 'stations', 'main': {'temp': 71.82, 'feels_like': 68.29, 'temp_min': 68, 'temp_max': 75.2, 'pressure': 1016, 'humidity': 64}, 'visibility': 10000, 'wind': {'speed': 11.41, 'deg': 360}, 'clouds': {'all': 40}, 'dt': 1599159876, 'sys': {'type': 1, 'id': 6894, 'country': 'PT', 'sunrise': 1599115491, 'sunset': 1599161452}, 'timezone': 3600, 'id': 2264557, 'name': 'Ponta do Sol', 'cod': 200}"
11,Barguzin,RU,53.62,109.62,49.1,79,0,0.27,"{'coord': {'lon': 109.62, 'lat': 53.62}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 49.1, 'feels_like': 47.32, 'temp_min': 49.1, 'temp_max': 49.1, 'pressure': 1012, 'humidity': 79, 'sea_level': 1012, 'grnd_level': 952}, 'visibility': 10000, 'wind': {'speed': 0.27, 'deg': 303}, 'clouds': {'all': 0}, 'dt': 1599159876, 'sys': {'country': 'RU', 'sunrise': 1599170156, 'sunset': 1599218735}, 'timezone': 28800, 'id': 2027109, 'name': 'Barguzin', 'cod': 200}"
12,Russell,US,32.35,-85.2,91.4,52,20,4.7,"{'coord': {'lon': -85.2, 'lat': 32.35}, 'weather': [{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}], 'base': 'stations', 'main': {'temp': 90.86, 'feels_like': 96.24, 'temp_min': 90, 'temp_max': 91.4, 'pressure': 1016, 'humidity': 52}, 'visibility': 10000, 'wind': {'speed': 4.7, 'deg': 280}, 'clouds': {'all': 20}, 'dt': 1599159877, 'sys': {'type': 1, 'id': 4765, 'country': 'US', 'sunrise': 1599131857, 'sunset': 1599177766}, 'timezone': -18000, 'id': 4047434, 'name': 'Russell', 'cod': 200}"
13,Fortuna,US,40.6,-124.16,63.0,100,90,5.82,"{'coord': {'lon': -124.16, 'lat': 40.6}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 59.38, 'feels_like': 59.14, 'temp_min': 57, 'temp_max': 63, 'pressure': 1019, 'humidity': 100}, 'visibility': 10000, 'wind': {'speed': 5.82, 'deg': 290}, 'clouds': {'all': 90}, 'dt': 1599159877, 'sys': {'type': 1, 'id': 4127, 'country': 'US', 'sunrise': 1599140790, 'sunset': 1599187530}, 'timezone': -25200, 'id': 5563839, 'name': 'Fortuna', 'cod': 200}"
14,Barrow,US,71.29,-156.79,37.4,86,90,16.11,"{'coord': {'lon': -156.79, 'lat': 71.29}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 37.4, 'feels_like': 25, 'temp_min': 37.4, 'temp_max': 37.4, 'pressure': 1014, 'humidity': 86}, 'visibility': 10000, 'wind': {'speed': 16.11, 'deg': 70}, 'clouds': {'all': 90}, 'dt': 1599159877, 'sys': {'type': 1, 'id': 7649, 'country': 'US', 'sunrise': 1599144434, 'sunset': 1599199545}, 'timezone': -28800, 'id': 5880054, 'name': 'Barrow', 'cod': 200}"
15,Port Alfred,ZA,-33.59,26.89,63.34,69,59,15.14,"{'coord': {'lon': 26.89, 'lat': -33.59}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 63.34, 'feels_like': 55.74, 'temp_min': 63.34, 'temp_max': 63.34, 'pressure': 1023, 'humidity': 69, 'sea_level': 1023, 'grnd_level': 1021}, 'visibility': 10000, 'wind': {'speed': 15.14, 'deg': 65}, 'clouds': {'all': 59}, 'dt': 1599159877, 'sys': {'country': 'ZA', 'sunrise': 1599107263, 'sunset': 1599148569}, 'timezone': 7200, 'id': 964432, 'name': 'Port Alfred', 'cod': 200}"
16,Port Keats,AU,-14.25,129.55,74.98,92,4,4.54,"{'coord': {'lon': 129.55, 'lat': -14.25}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 74.98, 'feels_like': 81.37, 'temp_min': 74.98, 'temp_max': 74.98, 'pressure': 1012, 'humidity': 92, 'sea_level': 1012, 'grnd_level': 1010}, 'visibility': 10000, 'wind': {'speed': 4.54, 'deg': 6}, 'clouds': {'all': 4}, 'dt': 1599159878, 'sys': {'country': 'AU', 'sunrise': 1599168294, 'sunset': 1599211033}, 'timezone': 34200, 'id': 2063039, 'name': 'Port Keats', 'cod': 200}"
17,Tasiilaq,GL,65.61,-37.64,44.6,65,20,10.29,"{'coord': {'lon': -37.64, 'lat': 65.61}, 'weather': [{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}], 'base': 'stations', 'main': {'temp': 44.6, 'feels_like': 35.47, 'temp_min': 44.6, 'temp_max': 44.6, 'pressure': 1006, 'humidity': 65}, 'visibility': 10000, 'wind': {'speed': 10.29, 'deg': 100}, 'clouds': {'all': 20}, 'dt': 1599159878, 'sys': {'type': 1, 'id': 81, 'country': 'GL', 'sunrise': 1599117326, 'sunset': 1599169473}, 'timezone': -7200, 'id': 3424607, 'name': 'Tasiilaq', 'cod': 200}"
18,Ushuaia,AR,-54.8,-68.3,37.4,93,75,3.36,"{'coord': {'lon': -68.3, 'lat': -54.8}, 'weather': [{'id': 300, 'main': 'Drizzle', 'description': 'light intensity drizzle', 'icon': '09d'}], 'base': 'stations', 'main': {'temp': 37.4, 'feels_like': 32.49, 'temp_min': 37.4, 'temp_max': 37.4, 'pressure': 1002, 'humidity': 93}, 'visibility': 10000, 'wind': {'speed': 3.36, 'deg': 340}, 'clouds': {'all': 75}, 'dt': 1599159734, 'sys': {'type': 1, 'id': 8303, 'country': 'AR', 'sunrise': 1599131318, 'sunset': 1599170195}, 'timezone': -10800, 'id': 3833367, 'name': 'Ushuaia', 'cod': 200}"
19,Kaitangata,NZ,-46.28,169.85,41.0,85,100,5.82,"{'coord': {'lon': 169.85, 'lat': -46.28}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 41, 'feels_like': 34.92, 'temp_min': 41, 'temp_max': 41, 'pressure': 1012, 'humidity': 85}, 'visibility': 10000, 'wind': {'speed': 5.82, 'deg': 309}, 'clouds': {'all': 100}, 'dt': 1599159878, 'sys': {'type': 3, 'id': 2000217, 'country': 'NZ', 'sunrise': 1599159920, 'sunset': 1599200068}, 'timezone': 43200, 'id': 2208248, 'name': 'Kaitangata', 'cod': 200}"
20,Provideniya,RU,64.38,-173.3,40.33,71,86,4.68,"{'coord': {'lon': -173.3, 'lat': 64.38}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 40.33, 'feels_like': 34.09, 'temp_min': 40.33, 'temp_max': 40.33, 'pressure': 1016, 'humidity': 71, 'sea_level': 1016, 'grnd_level': 1004}, 'visibility': 10000, 'wind': {'speed': 4.68, 'deg': 38}, 'clouds': {'all': 86}, 'dt': 1599159879, 'sys': {'country': 'RU', 'sunrise': 1599236775, 'sunset': 1599287886}, 'timezone': 43200, 'id': 4031574, 'name': 'Provideniya', 'cod': 200}"
21,Pevek,RU,69.7,170.31,34.74,91,82,7.9,"{'coord': {'lon': 170.31, 'lat': 69.7}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 34.74, 'feels_like': 26.76, 'temp_min': 34.74, 'temp_max': 34.74, 'pressure': 1022, 'humidity': 91, 'sea_level': 1022, 'grnd_level': 1017}, 'visibility': 10000, 'wind': {'speed': 7.9, 'deg': 22}, 'clouds': {'all': 82}, 'dt': 1599159879, 'sys': {'country': 'RU', 'sunrise': 1599152878, 'sunset': 1599206889}, 'timezone': 43200, 'id': 2122090, 'name': 'Pevek', 'cod': 200}"
22,Abu Dhabi,AE,24.47,54.37,93.2,66,0,6.93,"{'coord': {'lon': 54.37, 'lat': 24.47}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 92.17, 'feels_like': 101.19, 'temp_min': 91.4, 'temp_max': 93.2, 'pressure': 1006, 'humidity': 66}, 'visibility': 10000, 'wind': {'speed': 6.93, 'deg': 50}, 'clouds': {'all': 0}, 'dt': 1599159839, 'sys': {'type': 1, 'id': 7533, 'country': 'AE', 'sunrise': 1599098684, 'sunset': 1599143961}, 'timezone': 14400, 'id': 292968, 'name': 'Abu Dhabi', 'cod': 200}"
23,Mataura,NZ,-46.19,168.86,45.0,72,100,11.01,"{'coord': {'lon': 168.86, 'lat': -46.19}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 45, 'feels_like': 35.94, 'temp_min': 45, 'temp_max': 45, 'pressure': 1008, 'humidity': 72}, 'visibility': 10000, 'wind': {'speed': 11.01, 'deg': 194, 'gust': 21.99}, 'clouds': {'all': 100}, 'dt': 1599159879, 'sys': {'type': 3, 'id': 2008959, 'country': 'NZ', 'sunrise': 1599160152, 'sunset': 1599200311}, 'timezone': 43200, 'id': 6201424, 'name': 'Mataura', 'cod': 200}"
24,Mahebourg,MU,-20.41,57.7,69.8,73,75,12.75,"{'coord': {'lon': 57.7, 'lat': -20.41}, 'weather': [{'id': 521, 'main': 'Rain', 'description': 'shower rain', 'icon': '09n'}], 'base': 'stations', 'main': {'temp': 69.8, 'feels_like': 66.18, 'temp_min': 69.8, 'temp_max': 69.8, 'pressure': 1016, 'humidity': 73}, 'visibility': 10000, 'wind': {'speed': 12.75, 'deg': 230}, 'clouds': {'all': 75}, 'dt': 1599159879, 'sys': {'type': 1, 'id': 2061, 'country': 'MU', 'sunrise': 1599099377, 'sunset': 1599141669}, 'timezone': 14400, 'id': 934322, 'name': 'Mahébourg', 'cod': 200}"
25,Rikitea,PF,-23.12,-134.97,71.83,85,1,11.32,"{'coord': {'lon': -134.97, 'lat': -23.12}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}], 'base': 'stations', 'main': {'temp': 71.83, 'feels_like': 71.67, 'temp_min': 71.83, 'temp_max': 71.83, 'pressure': 1023, 'humidity': 85, 'sea_level': 1023, 'grnd_level': 1020}, 'visibility': 10000, 'wind': {'speed': 11.32, 'deg': 96}, 'clouds': {'all': 1}, 'dt': 1599159880, 'sys': {'country': 'PF', 'sunrise': 1599145682, 'sunset': 1599187826}, 'timezone': -32400, 'id': 4030556, 'name': 'Rikitea', 'cod': 200}"
26,Kodiak,US,57.79,-152.41,50.11,71,93,4.03,"{'coord': {'lon': -152.41, 'lat': 57.79}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 50.11, 'feels_like': 45.82, 'temp_min': 50.11, 'temp_max': 50.11, 'pressure': 1011, 'humidity': 71, 'sea_level': 1011, 'grnd_level': 1003}, 'visibility': 10000, 'wind': {'speed': 4.03, 'deg': 328}, 'clouds': {'all': 93}, 'dt': 1599159849, 'sys': {'country': 'US', 'sunrise': 1599146166, 'sunset': 1599195711}, 'timezone': -28800, 'id': 5866583, 'name': 'Saint Paul Harbor', 'cod': 200}"
27,Cabo San Lucas,MX,22.89,-109.91,91.4,70,20,10.29,"{'coord': {'lon': -109.91, 'lat': 22.89}, 'weather': [{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}], 'base': 'stations', 'main': {'temp': 89.08, 'feels_like': 95.47, 'temp_min': 86, 'temp_max': 91.4, 'pressure': 1013, 'humidity': 70}, 'visibility': 10000, 'wind': {'speed': 10.29, 'deg': 130}, 'clouds': {'all': 20}, 'dt': 1599159820, 'sys': {'type': 1, 'id': 7151, 'country': 'MX', 'sunrise': 1599138181, 'sunset': 1599183300}, 'timezone': -21600, 'id': 3985710, 'name': 'Cabo San Lucas', 'cod': 200}"
28,Camacupa,AO,-12.02,17.48,75.74,29,99,3.62,"{'coord': {'lon': 17.48, 'lat': -12.02}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 75.74, 'feels_like': 71.71, 'temp_min': 75.74, 'temp_max': 75.74, 'pressure': 1013, 'humidity': 29, 'sea_level': 1013, 'grnd_level': 858}, 'visibility': 10000, 'wind': {'speed': 3.62, 'deg': 346}, 'clouds': {'all': 99}, 'dt': 1599159849, 'sys': {'country': 'AO', 'sunrise': 1599108749, 'sunset': 1599151599}, 'timezone': 3600, 'id': 3351014, 'name': 'Camacupa', 'cod': 200}"
29,Jawhar,SO,2.78,45.5,75.51,71,0,16.6,"{'coord': {'lon': 45.5, 'lat': 2.78}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 75.51, 'feels_like': 71.64, 'temp_min': 75.51, 'temp_max': 75.51, 'pressure': 1014, 'humidity': 71, 'sea_level': 1014, 'grnd_level': 1001}, 'visibility': 10000, 'wind': {'speed': 16.6, 'deg': 193}, 'clouds': {'all': 0}, 'dt': 1599159880, 'sys': {'country': 'SO', 'sunrise': 1599101562, 'sunset': 1599145339}, 'timezone': 10800, 'id': 56335, 'name': 'Giohar', 'cod': 200}"
30,Isangel,VU,-19.55,169.27,66.69,72,38,17.34,"{'coord': {'lon': 169.27, 'lat': -19.55}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}], 'base': 'stations', 'main': {'temp': 66.69, 'feels_like': 59.25, 'temp_min': 66.69, 'temp_max': 66.69, 'pressure': 1019, 'humidity': 72, 'sea_level': 1019, 'grnd_level': 1019}, 'visibility': 10000, 'wind': {'speed': 17.34, 'deg': 117}, 'clouds': {'all': 38}, 'dt': 1599159880, 'sys': {'country': 'VU', 'sunrise': 1599158936, 'sunset': 1599201330}, 'timezone': 39600, 'id': 2136825, 'name': 'Isangel', 'cod': 200}"
31,Bredasdorp,ZA,-34.53,20.04,53.6,93,63,5.82,"{'coord': {'lon': 20.04, 'lat': -34.53}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 53.6, 'feels_like': 50.86, 'temp_min': 53.6, 'temp_max': 53.6, 'pressure': 1019, 'humidity': 93}, 'visibility': 10000, 'wind': {'speed': 5.82, 'deg': 150}, 'clouds': {'all': 63}, 'dt': 1599159881, 'sys': {'type': 1, 'id': 1966, 'country': 'ZA', 'sunrise': 1599108946, 'sunset': 1599150174}, 'timezone': 7200, 'id': 1015776, 'name': 'Bredasdorp', 'cod': 200}"
32,Kapaa,US,22.08,-159.32,82.4,65,40,12.75,"{'coord': {'lon': -159.32, 'lat': 22.08}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}], 'base': 'stations', 'main': {'temp': 81.59, 'feels_like': 81.37, 'temp_min': 81, 'temp_max': 82.4, 'pressure': 1015, 'humidity': 65}, 'visibility': 10000, 'wind': {'speed': 12.75, 'deg': 70}, 'clouds': {'all': 40}, 'dt': 1599159881, 'sys': {'type': 1, 'id': 7873, 'country': 'US', 'sunrise': 1599150072, 'sunset': 1599195120}, 'timezone': -36000, 'id': 5848280, 'name': 'Kapaa', 'cod': 200}"
33,Leningradskiy,RU,69.38,178.42,34.56,94,100,2.04,"{'coord': {'lon': 178.42, 'lat': 69.38}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 34.56, 'feels_like': 29.98, 'temp_min': 34.56, 'temp_max': 34.56, 'pressure': 1020, 'humidity': 94, 'sea_level': 1020, 'grnd_level': 1020}, 'visibility': 62, 'wind': {'speed': 2.04, 'deg': 320}, 'clouds': {'all': 100}, 'dt': 1599159881, 'sys': {'country': 'RU', 'sunrise': 1599151021, 'sunset': 1599204854}, 'timezone': 43200, 'id': 2123814, 'name': 'Leningradskiy', 'cod': 200}"
34,Mecca,SA,21.43,39.83,93.13,39,66,2.37,"{'coord': {'lon': 39.83, 'lat': 21.43}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 93.13, 'feels_like': 96.84, 'temp_min': 93.13, 'temp_max': 93.13, 'pressure': 1007, 'humidity': 39, 'sea_level': 1007, 'grnd_level': 972}, 'visibility': 10000, 'wind': {'speed': 2.37, 'deg': 165}, 'clouds': {'all': 66}, 'dt': 1599159881, 'sys': {'country': 'SA', 'sunrise': 1599102292, 'sunset': 1599147331}, 'timezone': 10800, 'id': 104515, 'name': 'Makkah al Mukarramah', 'cod': 200}"
35,Port Hardy,CA,50.7,-127.42,57.2,87,75,5.82,"{'coord': {'lon': -127.42, 'lat': 50.7}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 57.2, 'feels_like': 54.97, 'temp_min': 57.2, 'temp_max': 57.2, 'pressure': 1022, 'humidity': 87}, 'visibility': 10000, 'wind': {'speed': 5.82, 'deg': 30}, 'clouds': {'all': 75}, 'dt': 1599159882, 'sys': {'type': 1, 'id': 1011, 'country': 'CA', 'sunrise': 1599140874, 'sunset': 1599189010}, 'timezone': -25200, 'id': 6111862, 'name': 'Port Hardy', 'cod': 200}"
36,Ichinoseki,JP,38.92,141.13,75.79,94,55,2.17,"{'coord': {'lon': 141.13, 'lat': 38.92}, 'weather': [{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}], 'base': 'stations', 'main': {'temp': 75.79, 'feels_like': 84.31, 'temp_min': 75.79, 'temp_max': 75.79, 'pressure': 1014, 'humidity': 94, 'sea_level': 1014, 'grnd_level': 1006}, 'visibility': 10000, 'wind': {'speed': 2.17, 'deg': 27}, 'rain': {'1h': 0.29}, 'clouds': {'all': 55}, 'dt': 1599159882, 'sys': {'country': 'JP', 'sunrise': 1599163628, 'sunset': 1599210141}, 'timezone': 32400, 'id': 2112656, 'name': 'Ichinoseki', 'cod': 200}"
37,Luderitz,NA,-26.65,15.16,58.55,54,0,2.3,"{'coord': {'lon': 15.16, 'lat': -26.65}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 58.55, 'feels_like': 55.42, 'temp_min': 58.55, 'temp_max': 58.55, 'pressure': 1017, 'humidity': 54, 'sea_level': 1017, 'grnd_level': 1013}, 'visibility': 10000, 'wind': {'speed': 2.3, 'deg': 252}, 'clouds': {'all': 0}, 'dt': 1599159882, 'sys': {'country': 'NA', 'sunrise': 1599109802, 'sunset': 1599151659}, 'timezone': 7200, 'id': 3355672, 'name': 'Lüderitz', 'cod': 200}"
38,Qaanaaq,GL,77.48,-69.36,28.8,85,92,3.44,"{'coord': {'lon': -69.36, 'lat': 77.48}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 28.8, 'feels_like': 22.37, 'temp_min': 28.8, 'temp_max': 28.8, 'pressure': 1013, 'humidity': 85, 'sea_level': 1013, 'grnd_level': 1013}, 'visibility': 10000, 'wind': {'speed': 3.44, 'deg': 34}, 'clouds': {'all': 92}, 'dt': 1599159882, 'sys': {'country': 'GL', 'sunrise': 1599119768, 'sunset': 1599182254}, 'timezone': -10800, 'id': 3831208, 'name': 'Qaanaaq', 'cod': 200}"
39,Tiksi,RU,71.69,128.87,41.32,83,30,7.76,"{'coord': {'lon': 128.87, 'lat': 71.69}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}], 'base': 'stations', 'main': {'temp': 41.32, 'feels_like': 34.11, 'temp_min': 41.32, 'temp_max': 41.32, 'pressure': 1013, 'humidity': 83, 'sea_level': 1013, 'grnd_level': 1008}, 'visibility': 10000, 'wind': {'speed': 7.76, 'deg': 106}, 'clouds': {'all': 30}, 'dt': 1599159882, 'sys': {'country': 'RU', 'sunrise': 1599162185, 'sunset': 1599217468}, 'timezone': 32400, 'id': 2015306, 'name': 'Tiksi', 'cod': 200}"
